userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,reply_count,toplevel_count,reply_ratio,communityId,communitySize,temporal_cocomment_partners,temporal_cocomment_total,temporal_cocomment_mean,temporal_cocomment_max,labels,anomaly_score
UC--3W4OtfdsEtTUS8AE8lPg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2257.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1518262391645646
UC--4DvGTRQZ-4d7MisTbUAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC--70ql_IxJmhmqXqrkJrWQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,435.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1452916792938418
UC--7cQ0Eyu1VkxYqXJCsbNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC--DU0CsV6WdOT73XBTnHLg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1491901592868784
UC--FsVX4q4Ek_2DD89J5cOg,-0.0109195430728064,0.0,0.0,0.0,-4.523676758764315,1.539646798249827,0.7347632718669472,0.0,0.0,3.0,0.0,39.0,2138.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,-1,-0.01249619497741461
UC--abZKOj1KL2WOcPmJOdzA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2842.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.16185635043474916
UC--bCKm3Hsc6gEf8NKpFe7g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,2.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.09710307388742939
UC--gTrWuPS3KYZFDONGq6kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.13086261132345595
UC--qEvQ4lFlisNJbYSt41ww,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2842.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.16185635043474916
UC--rB861OjtWSknFz0YUyDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2138.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.13776916217338875
UC-01R4nRB2Rrrt2_pTVFoJQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-0OAnhf5CDdpjD5L2KiaPw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.12674338607595237
UC-0_bIeHuT_6qtXst3-8cyw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2533.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.15372553902778996
UC-0_eQAKqJRTeQChMRJwEag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-0bhri-DMhxKsvTP-vXvSw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,435.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1452916792938418
UC-0lWtswo4InEUqEBuN2jwg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,431.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.16456608855849764
UC-0pWwNjW7zkZnKz0If4z9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-0pZzhnXv1l444isrTkd7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3164.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.15795752535135593
UC-0tUxQng_4Daz9jdEfY54w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-1TvknQW7spHCqC1hSq77A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.18141523825788725
UC-1YF8d0KYSg3ksrpQJi3Kw,0.0154676152210146,0.0,0.0,0.0,-12.795802074283651,-1.3583318971328684,-0.9294828872878808,0.0,0.0,3.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,-1,-0.004421061935703241
UC-1ZkVfmgB1zY9flYWOyjOQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-21uGGLcKJC5_lzrtkPzSQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1441332226380041
UC-2_8w8gwVT2w9uzu3tFxCw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.13874223892647536
UC-2nfYlWwO0j7rcRWs9oqoA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-2o6jxVng1HrhkzLAbZFUg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2842.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.16185635043474916
UC-2pFMc1W2qD3it0hjPtAfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.1877866980090797
UC-3-Y0E5TSdzfMtLmRH_8qA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2138.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.13776916217338875
UC-36JYR1Z8AB6Ck7qfpEOvw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3164.0,-0.0174473059279285,-0.0193684191217831,-0.0308899111665039,-0.0336855777464681,1,0.15795752535135593
